"Mouse","Behavior","Stage","first","parcial","total","porc"
1,"Food","Baseline",FALSE,27.32,35.21,77.5915932973587
1,"Food","Baseline",TRUE,7.89,35.21,22.4084067026413
1,"Food","Post",FALSE,12.7,28.61,44.3900734009088
1,"Food","Post",TRUE,15.91,28.61,55.6099265990912
1,"Food","Shocks",FALSE,14.56,28.09,51.8333926664293
1,"Food","Shocks",TRUE,13.53,28.09,48.1666073335707
1,"Motion","Baseline",FALSE,62.3,79.75,78.1191222570533
1,"Motion","Baseline",TRUE,17.45,79.75,21.8808777429467
1,"Motion","Post",FALSE,43.175,79.6,54.2399497487437
1,"Motion","Post",TRUE,36.425,79.6,45.7600502512563
1,"Motion","Shocks",FALSE,43.425,72.4,59.9792817679558
1,"Motion","Shocks",TRUE,28.975,72.4,40.0207182320442
1,"Nest","Baseline",FALSE,122.08,176.74,69.0732148919316
1,"Nest","Baseline",TRUE,54.66,176.74,30.9267851080683
1,"Nest","Post",FALSE,51.16,93.89,54.4892959846629
1,"Nest","Post",TRUE,42.73,93.89,45.5107040153371
1,"Nest","Shocks",FALSE,62.51,111.67,55.9774335094475
1,"Nest","Shocks",TRUE,49.16,111.67,44.0225664905525
2,"Food","Baseline",FALSE,10.08,15.35,65.6677524429967
2,"Food","Baseline",TRUE,5.27,15.35,34.3322475570033
2,"Food","Post",FALSE,7.39,13.17,56.1123766135156
2,"Food","Post",TRUE,5.78,13.17,43.8876233864844
2,"Food","Shocks",FALSE,9.99,26.42,37.8122634367903
2,"Food","Shocks",TRUE,16.43,26.42,62.1877365632097
2,"Motion","Baseline",FALSE,45.825,72.725,63.0113441045033
2,"Motion","Baseline",TRUE,26.9,72.725,36.9886558954967
2,"Motion","Post",FALSE,38.05,62.675,60.7100119664938
2,"Motion","Post",TRUE,24.625,62.675,39.2899880335062
2,"Motion","Shocks",FALSE,40.35,62.95,64.0984908657665
2,"Motion","Shocks",TRUE,22.6,62.95,35.9015091342335
2,"Nest","Baseline",FALSE,80.92,134.59,60.1233375436511
2,"Nest","Baseline",TRUE,53.67,134.59,39.8766624563489
2,"Nest","Post",FALSE,74.74,129.23,57.8348680646909
2,"Nest","Post",TRUE,54.49,129.23,42.1651319353091
2,"Nest","Shocks",FALSE,69.17,116.49,59.3784874238132
2,"Nest","Shocks",TRUE,47.32,116.49,40.6215125761868
3,"Food","Baseline",FALSE,12.73,18.76,67.8571428571428
3,"Food","Baseline",TRUE,6.03,18.76,32.1428571428571
3,"Food","Post",FALSE,8.14,15.89,51.2271869100063
3,"Food","Post",TRUE,7.75,15.89,48.7728130899937
3,"Food","Shocks",FALSE,8.37,17.08,49.0046838407494
3,"Food","Shocks",TRUE,8.71,17.08,50.9953161592506
3,"Motion","Baseline",FALSE,34.675,56,61.9196428571429
3,"Motion","Baseline",TRUE,21.325,56,38.0803571428571
3,"Motion","Post",FALSE,28.525,60.25,47.344398340249
3,"Motion","Post",TRUE,31.725,60.25,52.655601659751
3,"Motion","Shocks",FALSE,25.5,60.25,42.3236514522822
3,"Motion","Shocks",TRUE,34.75,60.25,57.6763485477178
3,"Nest","Baseline",FALSE,30.95,48.97,63.2019603839085
3,"Nest","Baseline",TRUE,18.02,48.97,36.7980396160915
3,"Nest","Post",FALSE,35.88,74.11,48.4145189583052
3,"Nest","Post",TRUE,38.23,74.11,51.5854810416948
3,"Nest","Shocks",FALSE,37.45,72.23,51.8482624948083
3,"Nest","Shocks",TRUE,34.78,72.23,48.1517375051917
4,"Food","Baseline",FALSE,14.9,19.35,77.0025839793282
4,"Food","Baseline",TRUE,4.45,19.35,22.9974160206718
4,"Food","Post",FALSE,11.96,20.93,57.1428571428572
4,"Food","Post",TRUE,8.97,20.93,42.8571428571429
4,"Food","Shocks",FALSE,12.3,23.69,51.9206416209371
4,"Food","Shocks",TRUE,11.39,23.69,48.0793583790629
4,"Motion","Baseline",FALSE,42.05,60.05,70.0249791840133
4,"Motion","Baseline",TRUE,18,60.05,29.9750208159867
4,"Motion","Post",FALSE,36.975,58.775,62.9094002552106
4,"Motion","Post",TRUE,21.8,58.775,37.0905997447895
4,"Motion","Shocks",FALSE,34.525,58,59.5258620689655
4,"Motion","Shocks",TRUE,23.475,58,40.4741379310345
4,"Nest","Baseline",FALSE,51.5,72.32,71.2112831858407
4,"Nest","Baseline",TRUE,20.82,72.32,28.7887168141593
4,"Nest","Post",FALSE,54.03,87.66,61.6358658453114
4,"Nest","Post",TRUE,33.63,87.66,38.3641341546886
4,"Nest","Shocks",FALSE,54.21,89.75,60.4011142061281
4,"Nest","Shocks",TRUE,35.54,89.75,39.5988857938719
5,"Food","Baseline",FALSE,9.84,18.15,54.2148760330579
5,"Food","Baseline",TRUE,8.31,18.15,45.7851239669422
5,"Food","Post",FALSE,6.28,12.43,50.5229283990346
5,"Food","Post",TRUE,6.15,12.43,49.4770716009654
5,"Food","Shocks",FALSE,7.71,16.48,46.7839805825243
5,"Food","Shocks",TRUE,8.77,16.48,53.2160194174757
5,"Motion","Baseline",FALSE,30.65,58.575,52.3260776781904
5,"Motion","Baseline",TRUE,27.925,58.575,47.6739223218096
5,"Motion","Post",FALSE,30.375,63.425,47.8912100906583
5,"Motion","Post",TRUE,33.05,63.425,52.1087899093417
5,"Motion","Shocks",FALSE,28.65,65.875,43.4914611005693
