"Mouse","Stage","Behavior","Time","Amplitude","SEM","Condition"
1,"Baseline","Motion",0,0.625,0.365,"DD"
1,"Baseline","Motion",10,0.525,0.525,"DD"
1,"Baseline","Motion",20,0,0,"DD"
1,"Baseline","Motion",30,0.175,0.175,"DD"
1,"Baseline","Motion",40,0.1,0.1,"DD"
1,"Baseline","Motion",50,0.1,0.1,"DD"
1,"Baseline","Motion",60,0,0,"DD"
1,"Baseline","Motion",70,0,0,"DD"
1,"Baseline","Motion",80,0,0,"DD"
1,"Baseline","Motion",90,0.1,0.1,"DD"
1,"Baseline","Motion",100,0.225,0.145,"DD"
1,"Baseline","Motion",110,0.1,0.1,"DD"
1,"Baseline","Motion",120,0,0,"DD"
1,"Baseline","Motion",130,0,0,"DD"
1,"Baseline","Motion",140,0,0,"DD"
1,"Baseline","Motion",150,0.175,0.145,"DD"
1,"Baseline","Motion",160,0.125,0.125,"DD"
1,"Baseline","Motion",170,0,0,"DD"
1,"Baseline","Motion",180,0.125,0.125,"DD"
1,"Baseline","Motion",190,0,0,"DD"
1,"Baseline","Motion",200,0,0,"DD"
1,"Baseline","Motion",210,0.05,0.05,"DD"
1,"Baseline","Motion",220,0.35,0.265,"DD"
1,"Baseline","Motion",230,0.4,0.33,"DD"
1,"Baseline","Motion",240,0,0,"DD"
1,"Baseline","Motion",250,0.3,0.3,"DD"
1,"Baseline","Motion",260,0,0,"DD"
1,"Baseline","Motion",270,0.275,0.275,"DD"
1,"Baseline","Motion",280,0,0,"DD"
1,"Baseline","Motion",290,0,0,"DD"
1,"Baseline","Motion",300,0,0,"DD"
1,"Baseline","Motion",310,0,0,"DD"
1,"Baseline","Motion",320,0.6,0.38,"DD"
1,"Baseline","Motion",330,0.325,0.325,"DD"
1,"Baseline","Motion",340,0.05,0.05,"DD"
1,"Baseline","Motion",350,0.05,0.05,"DD"
1,"Baseline","Motion",360,0,0,"DD"
1,"Baseline","Motion",370,0,0,"DD"
1,"Baseline","Motion",380,0,0,"DD"
1,"Baseline","Motion",390,0,0,"DD"
1,"Baseline","Motion",400,0,0,"DD"
1,"Baseline","Motion",410,0,0,"DD"
1,"Baseline","Motion",420,0,0,"DD"
1,"Baseline","Motion",430,0,0,"DD"
1,"Baseline","Motion",440,0.4,0.205,"DD"
1,"Baseline","Motion",450,0.6,0.37,"DD"
1,"Baseline","Motion",460,0.2,0.2,"DD"
1,"Baseline","Motion",470,0.275,0.275,"DD"
1,"Baseline","Motion",480,0.275,0.275,"DD"
1,"Baseline","Motion",490,0.525,0.525,"DD"
1,"Baseline","Motion",500,0.325,0.245,"DD"
1,"Baseline","Motion",510,1.425,0.62,"DD"
1,"Baseline","Motion",520,0.775,0.775,"DD"
1,"Baseline","Motion",530,0.65,0.65,"DD"
1,"Baseline","Motion",540,0,0,"DD"
1,"Baseline","Motion",550,0.2,0.2,"DD"
1,"Baseline","Motion",560,0.1,0.1,"DD"
1,"Baseline","Motion",570,0,0,"DD"
1,"Baseline","Motion",580,0,0,"DD"
1,"Baseline","Motion",590,0,0,"DD"
1,"Baseline","Motion",600,0,0,"DD"
1,"Baseline","Motion",610,0.05,0.05,"DD"
1,"Baseline","Motion",620,0.65,0.65,"DD"
1,"Baseline","Motion",630,0.625,0.51,"DD"
1,"Baseline","Motion",640,1.025,0.53,"DD"
1,"Baseline","Motion",650,0.9,0.715,"DD"
1,"Baseline","Motion",660,0,0,"DD"
1,"Baseline","Motion",670,0.175,0.175,"DD"
1,"Baseline","Motion",680,1.025,0.61,"DD"
1,"Baseline","Motion",690,1.025,0.765,"DD"
1,"Baseline","Motion",700,0.675,0.675,"DD"
1,"Baseline","Motion",710,0.775,0.605,"DD"
1,"Baseline","Motion",720,1.075,0.64,"DD"
1,"Baseline","Motion",730,1.55,0.65,"DD"
1,"Baseline","Motion",740,1.775,0.675,"DD"
1,"Baseline","Motion",750,2.275,0.43,"DD"
1,"Baseline","Motion",760,1.675,0.68,"DD"
1,"Baseline","Motion",770,1.7,0.47,"DD"
1,"Baseline","Motion",780,1.4,0.75,"DD"
1,"Baseline","Motion",790,0.825,0.825,"DD"
1,"Baseline","Motion",800,1.2,0.485,"DD"
1,"Baseline","Motion",810,2.075,0.695,"DD"
1,"Baseline","Motion",820,1.55,0.605,"DD"
1,"Baseline","Motion",830,0.925,0.64,"DD"
1,"Baseline","Motion",840,1.4,0.905,"DD"
1,"Baseline","Motion",850,1.275,0.725,"DD"
1,"Baseline","Motion",860,1.075,0.65,"DD"
1,"Baseline","Motion",870,0.975,0.81,"DD"
1,"Baseline","Motion",880,1.6,0.45,"DD"
1,"Baseline","Motion",890,1.55,0.615,"DD"
1,"Baseline","Motion",900,0.675,0.425,"DD"
1,"Baseline","Motion",910,0.925,0.485,"DD"
1,"Baseline","Motion",920,0.35,0.35,"DD"
1,"Baseline","Motion",930,1.075,0.46,"DD"
1,"Baseline","Motion",940,1.075,0.5,"DD"
1,"Baseline","Motion",950,0.825,0.52,"DD"
1,"Baseline","Motion",960,1.375,0.385,"DD"
1,"Baseline","Motion",970,1.475,0.505,"DD"
1,"Baseline","Motion",980,1.525,0.325,"DD"
1,"Baseline","Motion",990,0.25,0.195,"DD"
1,"Baseline","Motion",1000,0.425,0.365,"DD"
1,"Baseline","Motion",1010,0.225,0.16,"DD"
1,"Baseline","Motion",1020,0.025,0.025,"DD"
1,"Baseline","Motion",1030,0.275,0.18,"DD"
1,"Baseline","Motion",1040,0.25,0.165,"DD"
1,"Baseline","Motion",1050,0.125,0.125,"DD"
1,"Baseline","Motion",1060,0,0,"DD"
1,"Baseline","Motion",1070,0,0,"DD"
1,"Baseline","Motion",1080,0.775,0.39,"DD"
1,"Baseline","Motion",1090,2.075,0.76,"DD"
1,"Baseline","Motion",1100,2.775,0.33,"DD"
1,"Baseline","Motion",1110,1.225,0.425,"DD"
1,"Baseline","Motion",1120,0.95,0.53,"DD"
1,"Baseline","Motion",1130,0.175,0.175,"DD"
1,"Baseline","Motion",1140,0.325,0.325,"DD"
1,"Baseline","Motion",1150,0.325,0.275,"DD"
1,"Baseline","Motion",1160,0.425,0.425,"DD"
1,"Baseline","Motion",1170,0.375,0.375,"DD"
1,"Baseline","Motion",1180,0.55,0.36,"DD"
1,"Baseline","Motion",1190,0.2,0.2,"DD"
1,"Baseline","Motion",1200,0.225,0.225,"DD"
1,"Baseline","Motion",1210,0.2,0.18,"DD"
1,"Baseline","Motion",1220,0.375,0.32,"DD"
1,"Baseline","Motion",1230,0.075,0.075,"DD"
1,"Baseline","Motion",1240,0.475,0.385,"DD"
