"Mouse","Behavior","Stage","first","parcial","total","porc"
1,"Food","Baseline",FALSE,40.84,49.86,81.909346169274
1,"Food","Baseline",TRUE,9.02,49.86,18.090653830726
1,"Food","Post",FALSE,0.78,9.16,8.51528384279476
1,"Food","Post",TRUE,8.38,9.16,91.4847161572052
1,"Food","Shocks",FALSE,0.06,5.2,1.15384615384615
1,"Food","Shocks",TRUE,5.14,5.2,98.8461538461538
1,"Motion","Baseline",FALSE,46.92,59.28,79.1497975708502
1,"Motion","Baseline",TRUE,12.36,59.28,20.8502024291498
1,"Motion","Post",FALSE,6.5,31.22,20.8199871877002
1,"Motion","Post",TRUE,24.72,31.22,79.1800128122998
1,"Motion","Shocks",FALSE,0,25.84,0
1,"Motion","Shocks",TRUE,25.84,25.84,100
1,"Nest","Baseline",FALSE,42.24,58.06,72.7523251808474
1,"Nest","Baseline",TRUE,15.82,58.06,27.2476748191526
1,"Nest","Post",FALSE,27.54,48.82,56.4113068414584
1,"Nest","Post",TRUE,21.28,48.82,43.5886931585416
1,"Nest","Shocks",FALSE,18.92,50.7,37.3175542406312
1,"Nest","Shocks",TRUE,31.78,50.7,62.6824457593688
2,"Food","Baseline",FALSE,11.64,15.5,75.0967741935484
2,"Food","Baseline",TRUE,3.86,15.5,24.9032258064516
2,"Food","Post",FALSE,0.42,11.68,3.5958904109589
2,"Food","Post",TRUE,11.26,11.68,96.4041095890411
2,"Food","Shocks",FALSE,0.04,7.76,0.515463917525773
2,"Food","Shocks",TRUE,7.72,7.76,99.4845360824742
2,"Motion","Baseline",FALSE,40.06,58.02,69.0451568424681
2,"Motion","Baseline",TRUE,17.96,58.02,30.9548431575319
2,"Motion","Post",FALSE,2.76,35.38,7.80101752402487
2,"Motion","Post",TRUE,32.62,35.38,92.1989824759751
2,"Motion","Shocks",FALSE,0.5,33.36,1.49880095923261
2,"Motion","Shocks",TRUE,32.86,33.36,98.5011990407674
2,"Nest","Baseline",FALSE,58.1,93.38,62.2188905547226
2,"Nest","Baseline",TRUE,35.28,93.38,37.7811094452774
2,"Nest","Post",FALSE,63.16,120.08,52.5982678214524
2,"Nest","Post",TRUE,56.92,120.08,47.4017321785476
2,"Nest","Shocks",FALSE,58.04,129.5,44.8185328185328
2,"Nest","Shocks",TRUE,71.46,129.5,55.1814671814672
3,"Food","Baseline",FALSE,9.4,15.48,60.7235142118863
3,"Food","Baseline",TRUE,6.08,15.48,39.2764857881137
3,"Food","Post",FALSE,2.46,19.2,12.8125
3,"Food","Post",TRUE,16.74,19.2,87.1875
3,"Food","Shocks",FALSE,0.4,20.38,1.96270853778214
3,"Food","Shocks",TRUE,19.98,20.38,98.0372914622179
3,"Motion","Baseline",FALSE,48.78,80.74,60.4161506068863
3,"Motion","Baseline",TRUE,31.96,80.74,39.5838493931137
3,"Motion","Post",FALSE,14.82,79.04,18.75
3,"Motion","Post",TRUE,64.22,79.04,81.25
3,"Motion","Shocks",FALSE,1.58,71.54,2.20855465473861
3,"Motion","Shocks",TRUE,69.96,71.54,97.7914453452614
3,"Nest","Baseline",FALSE,27.72,56.24,49.2887624466572
3,"Nest","Baseline",TRUE,28.52,56.24,50.7112375533428
3,"Nest","Post",FALSE,21.18,55.88,37.9026485325698
3,"Nest","Post",TRUE,34.7,55.88,62.0973514674302
3,"Nest","Shocks",FALSE,11.66,48.98,23.8056349530421
3,"Nest","Shocks",TRUE,37.32,48.98,76.1943650469579
4,"Food","Baseline",FALSE,18.18,31.34,58.0089342693044
4,"Food","Baseline",TRUE,13.16,31.34,41.9910657306956
4,"Food","Post",FALSE,6.88,35.36,19.4570135746606
4,"Food","Post",TRUE,28.48,35.36,80.5429864253394
4,"Food","Shocks",FALSE,0,42.08,0
4,"Food","Shocks",TRUE,42.08,42.08,100
4,"Motion","Baseline",FALSE,50.5,82.56,61.1676356589147
4,"Motion","Baseline",TRUE,32.06,82.56,38.8323643410853
4,"Motion","Post",FALSE,18.46,75.68,24.392177589852
4,"Motion","Post",TRUE,57.22,75.68,75.607822410148
4,"Motion","Shocks",FALSE,1.08,65.68,1.64433617539586
4,"Motion","Shocks",TRUE,64.6,65.68,98.3556638246041
5,"Food","Baseline",FALSE,13.32,17.6,75.6818181818182
5,"Food","Baseline",TRUE,4.28,17.6,24.3181818181818
5,"Food","Post",FALSE,0.4,14.76,2.710027100271
5,"Food","Post",TRUE,14.36,14.76,97.289972899729
5,"Food","Shocks",FALSE,0.12,16.34,0.734394124847001
5,"Food","Shocks",TRUE,16.22,16.34,99.265605875153
5,"Motion","Baseline",FALSE,42.8,62.74,68.2180427159707
5,"Motion","Baseline",TRUE,19.94,62.74,31.7819572840293
5,"Motion","Post",FALSE,2.1,33.5,6.26865671641791
5,"Motion","Post",TRUE,31.4,33.5,93.7313432835821
5,"Motion","Shocks",FALSE,0,31.42,0
5,"Motion","Shocks",TRUE,31.42,31.42,100
5,"Nest","Baseline",FALSE,32.56,49.24,66.1251015434606
5,"Nest","Baseline",TRUE,16.68,49.24,33.8748984565394
5,"Nest","Post",FALSE,24.84,55.92,44.4206008583691
5,"Nest","Post",TRUE,31.08,55.92,55.5793991416309
5,"Nest","Shocks",FALSE,20.66,51.78,39.8995751255311
