"Mouse","Stage","Behavior","Time","Amplitude","SEM"
1,"Baseline","Motion",0,0.6,0.26
1,"Baseline","Motion",10,0.22,0.17
1,"Baseline","Motion",20,0.05,0.05
1,"Baseline","Motion",30,0.15,0.1
1,"Baseline","Motion",40,0,0
1,"Baseline","Motion",50,0,0
1,"Baseline","Motion",60,0,0
1,"Baseline","Motion",70,0,0
1,"Baseline","Motion",80,0,0
1,"Baseline","Motion",90,0,0
1,"Baseline","Motion",100,0.28,0.28
1,"Baseline","Motion",110,0.03,0.03
1,"Baseline","Motion",120,0.2,0.2
1,"Baseline","Motion",130,0.07,0.07
1,"Baseline","Motion",140,0,0
1,"Baseline","Motion",150,0,0
1,"Baseline","Motion",160,0.15,0.15
1,"Baseline","Motion",170,0.03,0.03
1,"Baseline","Motion",180,0,0
1,"Baseline","Motion",190,0,0
1,"Baseline","Motion",200,0,0
1,"Baseline","Motion",210,0.15,0.15
1,"Baseline","Motion",220,0.05,0.05
1,"Baseline","Motion",230,0.12,0.08
1,"Baseline","Motion",240,0.05,0.05
1,"Baseline","Motion",250,0.2,0.2
1,"Baseline","Motion",260,0.35,0.21
1,"Baseline","Motion",270,0.47,0.35
1,"Baseline","Motion",280,0.12,0.09
1,"Baseline","Motion",290,0.35,0.29
1,"Baseline","Motion",300,0.2,0.17
1,"Baseline","Motion",310,0.48,0.24
1,"Baseline","Motion",320,0.28,0.24
1,"Baseline","Motion",330,0.33,0.33
1,"Baseline","Motion",340,0.05,0.03
1,"Baseline","Motion",350,0,0
1,"Baseline","Motion",360,0,0
1,"Baseline","Motion",370,0,0
1,"Baseline","Motion",380,0,0
1,"Baseline","Motion",390,0,0
1,"Baseline","Motion",400,0.05,0.05
1,"Baseline","Motion",410,0.22,0.17
1,"Baseline","Motion",420,0.03,0.03
1,"Baseline","Motion",430,0.1,0.06
1,"Baseline","Motion",440,0,0
1,"Baseline","Motion",450,0.05,0.05
1,"Baseline","Motion",460,0.53,0.32
1,"Baseline","Motion",470,0.57,0.4
1,"Baseline","Motion",480,0.33,0.33
1,"Baseline","Motion",490,0.33,0.2
1,"Baseline","Motion",500,0.53,0.32
1,"Baseline","Motion",510,0.37,0.23
1,"Baseline","Motion",520,0.3,0.27
1,"Baseline","Motion",530,0.45,0.26
1,"Baseline","Motion",540,0.17,0.17
1,"Baseline","Motion",550,0.2,0.2
1,"Baseline","Motion",560,0.2,0.2
1,"Baseline","Motion",570,0.33,0.33
1,"Baseline","Motion",580,0.3,0.18
1,"Baseline","Motion",590,0.5,0.13
1,"Baseline","Motion",600,0.2,0.2
1,"Baseline","Motion",610,0.22,0.17
1,"Baseline","Motion",620,0.12,0.12
1,"Baseline","Motion",630,0.37,0.17
1,"Baseline","Motion",640,0.07,0.07
1,"Baseline","Motion",650,0.07,0.07
1,"Baseline","Motion",660,0,0
1,"Baseline","Motion",670,0.22,0.1
1,"Baseline","Motion",680,0.03,0.03
1,"Baseline","Motion",690,0.32,0.12
1,"Baseline","Motion",700,0,0
1,"Baseline","Motion",710,0.07,0.07
1,"Baseline","Motion",720,0.5,0.3
1,"Baseline","Motion",730,0.93,0.43
1,"Baseline","Motion",740,1.68,0.66
1,"Baseline","Motion",750,1.8,0.41
1,"Baseline","Motion",760,1.5,0.37
1,"Baseline","Motion",770,1.82,0.43
