"Mouse","Behavior","Stage","first","parcial","total","porc"
1,"Food","Baseline",FALSE,33.38,36.95,90.3382949932341
1,"Food","Baseline",TRUE,3.57,36.95,9.6617050067659
1,"Food","Post",FALSE,13.4,23.62,56.731583403895
1,"Food","Post",TRUE,10.22,23.62,43.268416596105
1,"Food","Shocks",FALSE,2.06,13.94,14.7776183644189
1,"Food","Shocks",TRUE,11.88,13.94,85.2223816355811
1,"Motion","Baseline",FALSE,56.84,69.07,82.2933256116983
1,"Motion","Baseline",TRUE,12.23,69.07,17.7066743883017
1,"Motion","Post",FALSE,40.04,84.96,47.1280602636535
1,"Motion","Post",TRUE,44.92,84.96,52.8719397363465
1,"Motion","Shocks",FALSE,8.25,38.69,21.3233393641768
1,"Motion","Shocks",TRUE,30.44,38.69,78.6766606358232
1,"Nest","Baseline",FALSE,96.35,140.07,68.7870350539016
1,"Nest","Baseline",TRUE,43.72,140.07,31.2129649460984
1,"Nest","Post",FALSE,65.82,105.37,62.4655974186201
1,"Nest","Post",TRUE,39.55,105.37,37.5344025813799
1,"Nest","Shocks",FALSE,66.2,110.15,60.0998638220608
1,"Nest","Shocks",TRUE,43.95,110.15,39.9001361779392
2,"Food","Baseline",FALSE,23.11,28.79,80.2709274053491
2,"Food","Baseline",TRUE,5.68,28.79,19.7290725946509
2,"Food","Post",FALSE,3.42,17.75,19.2676056338028
2,"Food","Post",TRUE,14.33,17.75,80.7323943661972
2,"Food","Shocks",FALSE,1.62,13.88,11.671469740634
2,"Food","Shocks",TRUE,12.26,13.88,88.328530259366
2,"Motion","Baseline",FALSE,58.94,71.48,82.4566312255176
2,"Motion","Baseline",TRUE,12.54,71.48,17.5433687744824
2,"Motion","Post",FALSE,12.44,59.94,20.7540874207541
2,"Motion","Post",TRUE,47.5,59.94,79.2459125792459
2,"Motion","Shocks",FALSE,9.01,40.66,22.1593703885883
2,"Motion","Shocks",TRUE,31.65,40.66,77.8406296114117
2,"Nest","Baseline",FALSE,73.95,89.32,82.7922077922078
2,"Nest","Baseline",TRUE,15.37,89.32,17.2077922077922
2,"Nest","Post",FALSE,28.51,68.87,41.3968346159431
2,"Nest","Post",TRUE,40.36,68.87,58.6031653840569
2,"Nest","Shocks",FALSE,37.53,64.57,58.1229673222859
2,"Nest","Shocks",TRUE,27.04,64.57,41.8770326777141
3,"Food","Baseline",FALSE,35.49,41.1,86.3503649635037
3,"Food","Baseline",TRUE,5.61,41.1,13.6496350364964
3,"Food","Post",FALSE,13.68,38.8,35.2577319587629
3,"Food","Post",TRUE,25.12,38.8,64.7422680412371
3,"Food","Shocks",FALSE,2.09,15.72,13.295165394402
3,"Food","Shocks",TRUE,13.63,15.72,86.704834605598
3,"Motion","Baseline",FALSE,39.15,55.9,70.0357781753131
3,"Motion","Baseline",TRUE,16.75,55.9,29.9642218246869
3,"Motion","Post",FALSE,23.04,60.36,38.1709741550696
3,"Motion","Post",TRUE,37.32,60.36,61.8290258449304
3,"Motion","Shocks",FALSE,10.85,44.7,24.2729306487696
3,"Motion","Shocks",TRUE,33.85,44.7,75.7270693512304
3,"Nest","Baseline",FALSE,79.84,115.27,69.2634683785894
3,"Nest","Baseline",TRUE,35.43,115.27,30.7365316214106
3,"Nest","Post",FALSE,35.61,77.38,46.019643318687
3,"Nest","Post",TRUE,41.77,77.38,53.980356681313
3,"Nest","Shocks",FALSE,37.34,70.76,52.7699265121538
3,"Nest","Shocks",TRUE,33.42,70.76,47.2300734878462
4,"Food","Baseline",FALSE,25.69,29.7,86.4983164983165
4,"Food","Baseline",TRUE,4.01,29.7,13.5016835016835
