"Mouse","Stage","Behavior","Time","Amplitude","SEM","Condition"
3,"Baseline","Motion",0,0.125,0.105,"LD"
3,"Baseline","Motion",10,0.2,0.145,"LD"
3,"Baseline","Motion",20,0,0,"LD"
3,"Baseline","Motion",30,0.05,0.05,"LD"
3,"Baseline","Motion",40,0.025,0.025,"LD"
3,"Baseline","Motion",50,0,0,"LD"
3,"Baseline","Motion",60,0,0,"LD"
3,"Baseline","Motion",70,0,0,"LD"
3,"Baseline","Motion",80,0,0,"LD"
3,"Baseline","Motion",90,0,0,"LD"
3,"Baseline","Motion",100,0,0,"LD"
3,"Baseline","Motion",110,0,0,"LD"
3,"Baseline","Motion",120,0.05,0.05,"LD"
3,"Baseline","Motion",130,0.1,0.1,"LD"
3,"Baseline","Motion",140,0.025,0.025,"LD"
3,"Baseline","Motion",150,0.05,0.05,"LD"
3,"Baseline","Motion",160,0.175,0.15,"LD"
3,"Baseline","Motion",170,0.025,0.025,"LD"
3,"Baseline","Motion",180,0,0,"LD"
3,"Baseline","Motion",190,0,0,"LD"
3,"Baseline","Motion",200,0.125,0.125,"LD"
3,"Baseline","Motion",210,0.1,0.07,"LD"
3,"Baseline","Motion",220,0,0,"LD"
3,"Baseline","Motion",230,0,0,"LD"
3,"Baseline","Motion",240,0.15,0.1,"LD"
3,"Baseline","Motion",250,0.275,0.14,"LD"
3,"Baseline","Motion",260,0.125,0.095,"LD"
3,"Baseline","Motion",270,0.4,0.4,"LD"
3,"Baseline","Motion",280,0.15,0.15,"LD"
3,"Baseline","Motion",290,0.5,0.295,"LD"
3,"Baseline","Motion",300,0,0,"LD"
3,"Baseline","Motion",310,0.325,0.325,"LD"
3,"Baseline","Motion",320,0.125,0.125,"LD"
3,"Baseline","Motion",330,0,0,"LD"
3,"Baseline","Motion",340,0.3,0.3,"LD"
3,"Baseline","Motion",350,0.25,0.22,"LD"
3,"Baseline","Motion",360,0.125,0.085,"LD"
3,"Baseline","Motion",370,0.425,0.265,"LD"
3,"Baseline","Motion",380,0.1,0.08,"LD"
