"Mouse","Behavior","Stage","first","parcial","total","porc"
1,"Food","Baseline",FALSE,5.36,7.7,69.6103896103896
1,"Food","Baseline",TRUE,2.34,7.7,30.3896103896104
1,"Food","Shocks",FALSE,4.29,5.12,83.7890625
1,"Food","Shocks",TRUE,0.83,5.12,16.2109375
1,"Motion","Baseline",FALSE,33.175,51.875,63.9518072289157
1,"Motion","Baseline",TRUE,18.7,51.875,36.0481927710843
1,"Motion","Shocks",FALSE,41.725,47.725,87.4279727606077
1,"Motion","Shocks",TRUE,6,47.725,12.5720272393924
1,"Nest","Baseline",FALSE,74.8,132.91,56.2786848243172
1,"Nest","Baseline",TRUE,58.11,132.91,43.7213151756828
1,"Nest","Shocks",FALSE,88.84,127.3,69.7879025923016
1,"Nest","Shocks",TRUE,38.46,127.3,30.2120974076984
2,"Motion","Baseline",FALSE,36.975,46.875,78.88
2,"Motion","Baseline",TRUE,9.9,46.875,21.12
2,"Motion","Shocks",FALSE,38.225,40.775,93.746167995095
2,"Motion","Shocks",TRUE,2.55,40.775,6.25383200490497
2,"Nest","Baseline",FALSE,59.06,88.3,66.885617214043
2,"Nest","Baseline",TRUE,29.24,88.3,33.114382785957
2,"Nest","Shocks",FALSE,69.33,94.07,73.7004358456469
2,"Nest","Shocks",TRUE,24.74,94.07,26.2995641543531
3,"Food","Baseline",FALSE,34.43,36.65,93.9427012278308
3,"Food","Baseline",TRUE,2.22,36.65,6.05729877216917
3,"Food","Shocks",FALSE,41.92,42.51,98.6120912726417
3,"Food","Shocks",TRUE,0.59,42.51,1.38790872735827
3,"Motion","Baseline",FALSE,52.05,59.2,87.9222972972973
3,"Motion","Baseline",TRUE,7.15,59.2,12.0777027027027
3,"Motion","Shocks",FALSE,65.225,67.2,97.0610119047619
3,"Motion","Shocks",TRUE,1.975,67.2,2.9389880952381
3,"Nest","Baseline",FALSE,96.61,142.73,67.6872416450641
3,"Nest","Baseline",TRUE,46.12,142.73,32.3127583549359
3,"Nest","Shocks",FALSE,89.32,132.79,67.2641012124407
3,"Nest","Shocks",TRUE,43.47,132.79,32.7358987875593
4,"Food","Baseline",FALSE,8.86,10.5,84.3809523809524
4,"Food","Baseline",TRUE,1.64,10.5,15.6190476190476
4,"Food","Shocks",FALSE,9.54,9.59,99.4786235662148
4,"Food","Shocks",TRUE,0.05,9.59,0.521376433785193
4,"Motion","Baseline",FALSE,41.8,49.9,83.7675350701403
4,"Motion","Baseline",TRUE,8.1,49.9,16.2324649298597
4,"Motion","Shocks",FALSE,43.45,45.3,95.916114790287
4,"Motion","Shocks",TRUE,1.85,45.3,4.08388520971303
4,"Nest","Baseline",FALSE,108.32,158.95,68.1472161056936
4,"Nest","Baseline",TRUE,50.63,158.95,31.8527838943064
4,"Nest","Shocks",FALSE,73.7,95.93,76.8268529135828
4,"Nest","Shocks",TRUE,22.23,95.93,23.1731470864172
5,"Food","Baseline",FALSE,18.98,23.77,79.8485485906605
5,"Food","Baseline",TRUE,4.79,23.77,20.1514514093395
5,"Food","Shocks",FALSE,13.06,13.7,95.3284671532847
5,"Food","Shocks",TRUE,0.64,13.7,4.67153284671533
5,"Motion","Baseline",FALSE,36.975,47.45,77.9241306638567
5,"Motion","Baseline",TRUE,10.475,47.45,22.0758693361433
5,"Motion","Shocks",FALSE,49.025,50.575,96.9352446861097
5,"Motion","Shocks",TRUE,1.55,50.575,3.06475531389026
5,"Nest","Baseline",FALSE,63.76,102.65,62.1139795421335
5,"Nest","Baseline",TRUE,38.89,102.65,37.8860204578665
5,"Nest","Shocks",FALSE,54.35,78.72,69.042174796748
5,"Nest","Shocks",TRUE,24.37,78.72,30.957825203252
6,"Food","Baseline",FALSE,22.3,29.42,75.7987763426241
6,"Food","Baseline",TRUE,7.12,29.42,24.2012236573759
6,"Food","Shocks",FALSE,16.38,16.55,98.9728096676737
6,"Food","Shocks",TRUE,0.17,16.55,1.02719033232628
6,"Motion","Baseline",FALSE,52.075,65.65,79.3221629855293
6,"Motion","Baseline",TRUE,13.575,65.65,20.6778370144707
6,"Motion","Shocks",FALSE,67.5,69.8,96.7048710601719
6,"Motion","Shocks",TRUE,2.3,69.8,3.29512893982808
6,"Nest","Baseline",FALSE,86.01,131.41,65.4516399056388
6,"Nest","Baseline",TRUE,45.4,131.41,34.5483600943612
6,"Nest","Shocks",FALSE,68.72,111.86,61.4339352762382
6,"Nest","Shocks",TRUE,43.14,111.86,38.5660647237618
