Mouse ID,Treatment,Time (ZT),Per.Intensity
107,DF,14,2.376713014
108,DF,22,1.367355995
110,DF,10,1.61161167
112,DF,2,1.652132976
416,DF,18,1.595601882
419,DF,2,3.182502108
420,LF,14,2.262594914
421,LF,2,1.924118183
424,LF,6,2.051842463
427,DF,14,2.157228309
430,LF,10,1.837427873
431,LF,18,1.801798725
581,DF,22,2.115571865
583,DF,2,2.522265223
588,LF,10,1.76741545
589,DF,2,2.103704168
590,DF,10,2.046912973
596,LF,14,1.381066882
655,LF,18,2.338977501
656,LF,22,2.399054343
658,LF,6,1.607290016
663,DF,2,1.632743581
666,DF,22,1.455044665
667,DF,22,1.864223366
668,DF,18,2.523504535
670,DF,14,2.174357262
766,DF,10,1.491981177
768,LF,2,2.383604994
770,LF,6,1.505205395
771,LF,10,2.189355779
774,DF,18,2.160902473
776,DF,18,3.614736975
777,DF,6,2.462792854
778,LF,10,1.520888889
781,LF,22,2.007091121
Miri116,DF,2,2.455184534
Miri151,DF,6,2.133875379
Miri155,DF,6,1.865951902
Miri159,DF,18,2.200131435
Miri161,DF,6,2.001653986
Miri170,DF,14,1.856178967
Miri174,LF,2,2.103558387
Miri176,LF,18,2.391016101
Miri178,LF,22,2.260957125
Miri181,DF,2,2.090291017
Miri182,DF,10,1.666508374
Miri185,LF,10,1.974459292
Miri187,LF,10,1.569053425
Miri190,DF,6,1.956595013
Miri199,LF,14,2.609638554
Miri52,LF,6,1.502373651
Miri57,DF,14,2.557934003
Miri58,DF,18,2.143223913
Miri62,DF,22,1.623419772
Miri65,DF,22,2.157481554
MiriLS189,LF,2,2.344027384
MiriLS191,LF,6,2.715996169
MiriLS194,LF,14,1.566228503
MiriLS197,DF,18,1.627731131
MiriLS198,LF,22,2.24153425
MiriLS199,LF,22,2.210168558
MiriLS200,DF,22,1.751754778
