Mouse ID,Treatment,Time (ZT),Bmal.intensity
54,DF,10,1.748578404
55,DF,10,1.766101524
118,DF,10,1.880276897
120,DF,10,1.943776763
180,DF,10,2.017146699
182,DF,10,1.838592333
56,DF,14,2.536051072
57,DF,14,1.953694475
113,DF,14,2.15606958
115,DF,14,1.951312398
170,DF,14,2.386200431
179,DF,14,2.290422987
195,DF,14,2.227650293
58,DF,18,2.174792043
154,DF,18,1.746168128
159,DF,18,1.550988891
197,DF,18,1.837540465
158,DF,18,2.203612364
159,DF,18,1.614008986
116,DF,2,1.505900858
181,DF,2,1.804623363
183,DF,2,1.625865013
184,DF,2,1.768386182
112,DF,2,1.812592116
62,DF,22,1.725546763
65,DF,22,2.346679975
117,DF,22,1.727056018
119,DF,22,1.903693964
169,DF,22,1.677318009
200,DF,22,2.024139862
190,DF,6,2.017604843
193,DF,6,1.573515339
187,DF,6,1.703758352
151,DF,6,1.901587413
155,DF,6,1.981991001
157,DF,6,1.575331092
160,DF,6,1.843735387
161,DF,6,1.759805859
63,LF,10,1.751624164
64,LF,10,1.902098992
114,LF,10,2.516490376
185,LF,10,1.725818082
187,LF,10,1.872750399
197,LF,10,1.74389911
192,LF,10,1.921659706
110,LF,14,2.21885369
111,LF,14,1.847212637
198,LF,14,2.337028349
199,LF,14,2.460596676
200,LF,14,2.232114407
194,LF,14,2.374468674
121,LF,18,1.807377996
122,LF,18,1.873774121
172,LF,18,2.132650729
175,LF,18,2.372204597
176,LF,18,2.222820091
193,LF,18,2.133794968
51,LF,2,1.585015792
174,LF,2,1.922723303
189,LF,2,1.851713006
190,LF,2,2.037561162
60,LF,22,1.642096468
61,LF,22,1.705553882
171,LF,22,1.936656572
178,LF,22,1.798920827
192 (?),LF,22,1.834187622
198,LF,22,1.460613256
199,LF,22,2.159106556
52,LF,6,1.731019198
53,LF,6,1.402237817
108,LF,6,1.749266248
173,LF,6,1.619135999
NT,LF,6,2.060124125
191,LF,6,1.963798783
