Mouse,Behavior,Gen,Baseline,Shocks,After,,
1092,Motion,CamiCre -/-,0.0244,0.0977,0.123,,
1092,Food,CamiCre -/-,0.0066,0.0531,0.081,,
1092,Nest,CamiCre -/-,0.022,0.0175,0.0435,,
1125,Motion,CamiCre -/-,0.0614,0.1986,0.162,,
1125,Food,CamiCre -/-,0.015,0.0815,0.0449,,
1125,Nest,CamiCre -/-,0.0478,0.0472,0.0831,,
1361,Motion,CamiCre -/-,0.0853,0.1,0.1043,,
1361,Food,CamiCre -/-,0.0251,0.0354,0.0278,,
1361,Nest,CamiCre -/-,0.1646,0.0149,0.004,,
1383,Motion,CamiCre -/-,0.1012,0.1457,0.0636,,
1383,Food,CamiCre -/-,0.0709,0.0001,0.0246,,
1383,Nest,CamiCre -/-,0.0713,0.0274,0.0046,,
2049,Motion,CamiCre -/-,0.0558,0.0344,0.0393,,
2049,Food,CamiCre -/-,0.0063,0.0076,0.0088,,
2049,Nest,CamiCre -/-,0.0636,0.0287,0.0293,,
2052,Motion,CamiCre -/-,0.115,0.0529,0.0511,,
2052,Food,CamiCre -/-,0.0159,0.0182,0.0081,,
2052,Nest,CamiCre -/-,0.071,0.0287,0.0258,,
2059,Motion,CamiCre -/-,0.0148,0.0343,0.0105,,
2059,Food,CamiCre -/-,0.0038,0.0009,0.0056,,
2059,Nest,CamiCre -/-,0.0253,0.0233,0.0715,,
2211,Motion,CamiCre -/-,0.053,0.0616,0.016,,
2211,Food,CamiCre -/-,0.0185,0.0088,0.0023,,
2211,Nest,CamiCre -/-,0.0741,0.0122,0.023,,
856,Motion,CamiCre +/- Bmal F/+,0.0931,0.0813,0.0111,,
856,Food,CamiCre +/- Bmal F/+,0.0195,0.0395,0.0044,,
856,Nest,CamiCre +/- Bmal F/+,0.1244,0.0102,0.1605,,
927,Motion,CamiCre +/- Bmal F/+,0.1382,0.0782,0.0508,,
927,Food,CamiCre +/- Bmal F/+,0.0725,0.0521,0.0453,,
927,Nest,CamiCre +/- Bmal F/+,0.136,0.0259,0.0166,,
1335,Motion,CamiCre +/- Bmal F/+,0.0931,0.0773,0.0103,,
1335,Food,CamiCre +/- Bmal F/+,0.0431,0.0427,0.0022,,
1335,Nest,CamiCre +/- Bmal F/+,0.0682,0.0237,0.0418,,
1381,Motion,CamiCre +/- Bmal F/+,0.0377,0.1038,0.0489,,
1381,Food,CamiCre +/- Bmal F/+,0.0114,0.0468,0.0128,,  
1381,Nest,CamiCre +/- Bmal F/+,0.0728,0.0362,0.0202,,
2015,Motion,CamiCre +/- Bmal F/+,0.0269,0.0504,0.0413,,
2015,Food,CamiCre +/- Bmal F/+,0.0139,0.0116,0.0048,,
2015,Nest,CamiCre +/- Bmal F/+,0.091,0.0595,0.0614,,
984,Motion,CamiCre +/- Bmal F/F,0.0063,0.0015,0.012,,
984,Food,CamiCre +/- Bmal F/F,0.0049,-,-,,
984,Nest,CamiCre +/- Bmal F/F,0.0178,0.0116,0.0178,,
1333,Motion,CamiCre +/- Bmal F/F,0.016,0.0026,0.0067,,
1333,Food,CamiCre +/- Bmal F/F,0.0494,0.0008,0.0033,,
1333,Nest,CamiCre +/- Bmal F/F,0.0246,0.0133,0.004,,
1347,Motion,CamiCre +/- Bmal F/F,0.0103,0.0039,0.0121,,
1347,Food,CamiCre +/- Bmal F/F,0.0049,-,-,,
1347,Nest,CamiCre +/- Bmal F/F,0.0191,0.0057,0.01,,
1382,Motion,CamiCre +/- Bmal F/F,0.0077,0.0054,0.0178,,
1382,Food,CamiCre +/- Bmal F/F,0.0054,0.0004,0.0058,,
1382,Nest,CamiCre +/- Bmal F/F,0.011,0.0035,0.0185,,
1384,Motion,CamiCre +/- Bmal F/F,0.0015,0.0047,0.0017,,
1384,Food,CamiCre +/- Bmal F/F,0.0017,0.0122,0.0044,,
1384,Nest,CamiCre +/- Bmal F/F,0.0121,0.0125,0.0248,,
2051,Motion,CamiCre +/- Bmal F/F,0.0005,0.0016,0.0017,,
2051,Food,CamiCre +/- Bmal F/F,0.0053,0.0005,0.0003,,
2051,Nest,CamiCre +/- Bmal F/F,0.0003,0.0009,0.0103,,
2060,Motion,CamiCre +/- Bmal F/F,0.0041,0.0078,0.0013,,
2060,Food,CamiCre +/- Bmal F/F,0.0016,0.0001,0.0001,,
2060,Nest,CamiCre +/- Bmal F/F,0.005,0.0013,0.0028,,
