Mouse,Behavior,Gen,Baseline,Shocks,Post
856,Motion,cami +/- Bmal F/+,0.0251,0.0226,0.0043
856,Food,cami +/- Bmal F/+,0.0039,0.0051,0.0006
856,Nest,cami +/- Bmal F/+,0.0064,0.0084,0.0064
927,Motion,cami +/- Bmal F/+,0.0025,0.0303,0.0025
927,Food,cami +/- Bmal F/+,0.0011,0.0088,0.0011
927,Nest,cami +/- Bmal F/+,0.0309,0.0026,0.0309
984,Motion,cami +/- Bmal F/F,0.001,0.0114,0.001
984,Food,cami +/- Bmal F/F,0.0008,0.0066,0.0008
984,Nest,cami +/- Bmal F/F,0.0031,0.0616,0.0031
1092,Motion,cami -/-,0.0225,0.0495,0.0225
1092,Food,cami -/-,0.005,0.0106,0.005
1092,Nest,cami -/-,0.0047,0.007,0.0047
1125,Motion,cami -/-,0.0077,0.0271,0.0077
1125,Food,cami -/-,0.0023,0.0076,0.0023
1125,Nest,cami -/-,0.024,0.0113,0.024
1333,Motion,cami +/- Bmal F/F,0.0038,0.0533,0.0038
1333,Food,cami +/- Bmal F/F,0.0009,0.0221,0.0009
1333,Nest,cami +/- Bmal F/F,0.0064,0.0059,0.0064
1335,Motion,cami +/- Bmal F/+,0.0194,0.0183,0.0194
1335,Food,cami +/- Bmal F/+,0.0111,0.0047,0.0111
1335,Nest,cami +/- Bmal F/+,0.0082,0.0147,0.0082
1336,Motion,cami -/-,0.0023,0.0113,0.0023
1336,Food,cami -/-,0.0015,0.0032,0.0015
1336,Nest,cami -/-,0.0046,0.002,0.0046
1346,Motion,cami -/-,0.0042,0.0004,0.0042
1346,Food,cami -/-,0.0019,0.0005,0.0019
1346,Nest,cami -/-,0.0146,0.0331,0.0146
1347,Motion,cami +/- Bmal F/F,0.0021,0.0026,0.0021
1347,Food,cami +/- Bmal F/F,0.0003,0.0037,0.0003
1347,Nest,cami +/- Bmal F/F,0.0172,0.0125,0.0172
1361,Motion,cami -/-,0.0036,0.0308,0.0036
1361,Food,cami -/-,0.0015,0.0118,0.0015
1361,Nest,cami -/-,0.0074,0.0026,0.0074
1381,Motion,cami +/- Bmal F/+,0.0203,0.0257,0.0203
1381,Food,cami +/- Bmal F/+,0.0044,0.0168,0.0044
1381,Nest,cami +/- Bmal F/+,0.0042,0.007,0.0042
1382,Motion,cami +/- Bmal F/F,0.0042,0.0016,0.0042
1382,Food,cami +/- Bmal F/F,0.0011,0.0008,0.0011
1382,Nest,cami +/- Bmal F/F,0.0056,0.0304,0.0056
1383,Motion,cami -/-,0.0125,0.0274,0.0125
1383,Food,cami -/-,0.0008,0.0125,0.0008
1383,Nest,cami -/-,0.0066,0.0026,0.0066
1384,Motion,cami +/- Bmal F/F,0.0043,0.0117,0.0043
1384,Food,cami +/- Bmal F/F,0.0012,0.006,0.0012
1384,Nest,cami +/- Bmal F/F,0.0043,0.0043,0.0132
1385,Motion,cami -/-,0.0272,0.0228,0.0272
1385,Food,cami -/-,0.0009,0.0059,0.0009
1385,Nest,cami -/-,0.0494,0.0265,0.0494
1520,Motion,cami -/-,0.0694,0.0488,0.0205
1520,Food,cami -/-,0.0317,0.0308,0.0055
1520,Nest,cami -/-,0.0988,0.0023,0.0739
1561,Motion,cami +/- Bmal F/F,0.0317,0.091,0.0053
1561,Food,cami +/- Bmal F/F,0.0063,0.0512,0.0098
1561,Nest,cami +/- Bmal F/F,0.031,0.0184,0.0155
1563,Motion,cami +/- Bmal F/+,0.1112,0.0548,0.0031
1563,Food,cami +/- Bmal F/+,0.013,0.0456,0.0064
1563,Nest,cami +/- Bmal F/+,0.0616,0.0193,0.0303
1604,Motion,cami -/-,0.0753,0.0029,0.0515
1604,Food,cami -/-,0.0513,0.0259,0.0419
1604,Nest,cami -/-,0.0717,0.0161,0.0687
1606,Motion,cami +/- Bmal F/+,0.1385,0.0022,0.0853
1606,Food,cami +/- Bmal F/+,0.034,0.0106,0.0289
1606,Nest,cami +/- Bmal F/+,0.0746,0.0465,0.0881
