Mouse,Behavior,Gen,Baseline,Shocks,Post
856,Food,cami +/- Bmal F/+,26.97,69.49,68.95
856,Motion,cami +/- Bmal F/+,17.32,66.02,75.35
856,Nest,cami +/- Bmal F/+,24.66,38.2,43.73
927,Food,cami +/- Bmal F/+,22.97,70.46,63.99
927,Motion,cami +/- Bmal F/+,20.91,64.44,67.63
927,Nest,cami +/- Bmal F/+,24.05,45.33,41.66
984,Food,cami +/- Bmal F/F,43.16,56.52,53.44
984,Motion,cami +/- Bmal F/F,28.33,55.56,53.12
984,Nest,cami +/- Bmal F/F,30.99,37.65,49.07
1092,Food,cami -/-,40.45,72.83,75.08
1092,Motion,cami -/-,29.42,83.8,81.85
1092,Nest,cami -/-,37.38,50.42,50.61
1125,Food,cami -/-,25.81,55.43,50.3
1125,Motion,cami -/-,24.87,50.25,47.94
1125,Nest,cami -/-,34.04,36.38,40.04
1333,Food,cami +/- Bmal F/F,40.77,67.51,56.02
1333,Motion,cami +/- Bmal F/F,19.33,63.23,56.13
1333,Nest,cami +/- Bmal F/F,40.51,44.33,54.88
1335,Food,cami +/- Bmal F/+,24.3,72.5,83.4
1335,Motion,cami +/- Bmal F/+,20.52,76.13,82.92
1335,Nest,cami +/- Bmal F/+,30.89,40.83,44.89
1336,Food,cami -/-,31.98,54.93,49.08
1336,Motion,cami -/-,27.35,60.97,59.58
1336,Nest,cami -/-,32.26,39.74,40.7
1346,Food,cami -/-,13.08,45.36,44.89
1346,Motion,cami -/-,11.58,49.35,63.29
1346,Nest,cami -/-,19.78,29.39,40.38
1347,Food,cami +/- Bmal F/F,39.49,60.07,55.93
1347,Motion,cami +/- Bmal F/F,21.78,54.73,55.75
1347,Nest,cami +/- Bmal F/F,27.99,49.17,58.7
1361,Food,cami -/-,20.41,62.13,57.22
1361,Motion,cami -/-,22.77,62.35,58.4
1361,Nest,cami -/-,32.53,46.13,47.83
1381,Food,cami +/- Bmal F/+,31.93,77.17,73.7
1381,Motion,cami +/- Bmal F/+,13.42,79.34,74.7
1381,Nest,cami +/- Bmal F/+,31.25,44.8,49.37
1382,Food,cami +/- Bmal F/F,36.6,53.52,53.83
1382,Motion,cami +/- Bmal F/F,26.12,52.48,55.38
1382,Nest,cami +/- Bmal F/F,33.55,40.11,54.75
1383,Food,cami -/-,21.36,59.84,51.01
1383,Motion,cami -/-,21.27,55.14,49.19
1383,Nest,cami -/-,32.95,49.53,55.07
1384,Food,cami +/- Bmal F/F,40.98,59.76,52.96
1384,Motion,cami +/- Bmal F/F,25.17,60.16,53.34
1384,Nest,cami +/- Bmal F/F,32.62,44.73,53.38
1385,Food,cami -/-,23.02,48.68,44.88
1385,Motion,cami -/-,25.88,41.3,37.3
1385,Nest,cami -/-,22.57,29.51,29.5
1520,Food,cami -/-,12.63,62.64,53.79
1520,Motion,cami -/-,15.73,45.45,46.05
1520,Nest,cami -/-,19.47,29.43,42.01
1561,Food,cami +/- Bmal F/F,47.41,78.91,55.68
1561,Motion,cami +/- Bmal F/F,28.92,57.31,56.17
1561,Nest,cami +/- Bmal F/F,38.3,43.19,53.13
1563,Food,cami +/- Bmal F/+,25.68,64.31,65.12
1563,Motion,cami +/- Bmal F/+,16.57,32.37,66.16
1563,Nest,cami +/- Bmal F/+,26.17,36.33,48.42
1604,Food,cami -/-,14.61,49.75,63.52
1604,Motion,cami -/-,10.56,33.35,55.4
1604,Nest,cami -/-,37.01,31.02,55.47
1606,Food,cami +/- Bmal F/+,14.34,44.62,56.11
1606,Motion,cami +/- Bmal F/+,11.91,34.61,47.67
1606,Nest,cami +/- Bmal F/+,24.46,23.3,37.2
1650,Food,cami +/- Bmal F/F,41.81,55.11,45.96
1650,Motion,cami +/- Bmal F/F,22.98,46.99,51.59
1650,Nest,cami +/- Bmal F/F,NA,NA,NA
1814,Food,cami +/- Bmal F/F,41.38,56.74,54.77
1814,Motion,cami +/- Bmal F/F,30.93,76.91,56.03
1814,Nest,cami +/- Bmal F/F,31.01,44.27,53.38
1815,Food,cami +/- Bmal F/+,26.44,64.96,67.86
1815,Motion,cami +/- Bmal F/+,15.73,46.67,73.39
1815,Nest,cami +/- Bmal F/+,24.94,31.04,62.27
2015,Food,cami +/- Bmal F/+,31.03,66.92,67.71
2015,Motion,cami +/- Bmal F/+,27.91,65.9,56.68
2015,Nest,cami +/- Bmal F/+,36.53,42.55,51.69
2049,Food,cami -/-,34.58,69.85,59.34
2049,Motion,cami -/-,24,63.31,49.23
2049,Nest,cami -/-,26.68,36.11,36.14
2050,Food,cami -/-,31.01,44.83,53.76
2050,Motion,cami -/-,19.55,28.13,55.43
2050,Nest,cami -/-,29.03,31.79,45.44
2051,Food,cami +/- Bmal F/F,46.54,46.56,50.37
2051,Motion,cami +/- Bmal F/F,29.85,35.28,54.23
2051,Nest,cami +/- Bmal F/F,34.05,36.06,50.31
2052,Food,cami -/-,29.6,76.39,55.69
2052,Motion,cami -/-,14.48,69.29,38.78
2052,Nest,cami -/-,22.47,40.52,37.77
2059,Food,cami +/- Bmal F/+,36.63,53.41,59.57
2059,Motion,cami +/- Bmal F/+,31.93,43.59,60.3
2059,Nest,cami +/- Bmal F/+,28.46,22.53,50.46
2060,Food,cami +/- Bmal F/F,49.14,80.33,58.26
2060,Motion,cami +/- Bmal F/F,32.32,59.27,55.67
2060,Nest,cami +/- Bmal F/F,32.57,38.23,52.8
2211,Food,cami -/-,16.05,66.98,65.77
2211,Motion,cami -/-,19.39,52.87,67.56
2211,Nest,cami -/-,28.03,46.17,47.75
